country,namePlant,latitude,longitude,primaryfuel
Argentina,CT TINOGASTA,-28.0486,-67.5667,oil
Argentina,NIHUIL I,-34.9907,-68.6237,hydro
Argentina,PUNTA ALTA - CENTENARIO,-38.7833,-61.8984,wind
Argentina,PUERTO MADRYN,-42.7069,-65.1048,gas
Argentina,NIHUIL III,-34.8821,-68.576,hydro
Argentina,NIHUIL IV,-34.833,-68.5168,hydro
Argentina,NUEVA ESPERANZA,-26.2072,-64.2477,oil
Argentina,NUEVO PUERTO,-34.5721,-58.3835,gas
Argentina,OBERA (TG Nº21 FIAT ),-27.5019,-55.1245,gas
Argentina,ORENSE,-38.6851,-59.7804,oil
Argentina,PARANA,-33.3549,-60.1718,other
Argentina,PARQUE EOLICO ARAUCO SAPEM I,-28.6684,-66.7524,wind
Argentina,PARQUE EOLICO ARAUCO SAPEM II,-28.6684,-66.7524,wind
Argentina,PARQUE EOLICO DIADEMA,-45.7458,-67.6953,wind
Argentina,PARQUE EOLICO EL TORDILLO,-45.8507,-67.9081,wind
Argentina,PARQUE EOLICO LOMA BLANCA IV (ENARSA),-43.0907,-65.2298,wind
Argentina,PUERTO NUEVO,-34.5754,-58.3788,coal
Argentina,PARQUE EOLICO RAWSON I (ENARSA),-43.3522,-65.1734,wind
Argentina,PASO DE LOS LIBRES,-29.7148,-57.0933,oil
Argentina,PATAGONIA,-45.7934,-67.5145,gas
Argentina,PERUGORRIA,-29.34,-58.6077,oil
Argentina,PICO TRUNCADO I,-46.7842,-67.9498,gas
Argentina,PIEDRA DEL AGUILA (CPSA),-31.6651,-63.8314,hydro
Argentina,PIEDRAS MORAS,-32.1675,-64.2438,hydro
Argentina,PILAR  BICENTENARIO,-31.6651,-63.8314,gas
Argentina,PILAR ZANICHELLI,-31.6662,-63.8344,coal
Argentina,PLANICIE BANDERITA,-28.5339,-65.7997,hydro
Argentina,PLANTA PILOTO FOTOVOLTAICA SAN JUAN 1,-31.3891,-68.6752,solar
Argentina,PRESIDENTE SARMIENTO,-31.5129,-68.5399,gas
Argentina,PUEBLO VIEJO,-27.1149,-65.7523,hydro
Argentina,PARQUE EOLICO RAWSON II (ENARSA),-43.3522,-65.1734,wind
Argentina,CT TEREVINTOS,-28.4289,-65.7878,oil
Argentina,PICO TRUNCADO - JORGE ROMANUTTI,-46.8065,-67.9808,wind
Argentina,CT SANTA ROSA,-28.2628,-58.0006,oil
Argentina,CENTRAL T.GENELBA,-34.9027,-58.7334,gas
Argentina,CENTRAL T.GENELBA PLUS,-34.9027,-58.7334,gas
Argentina,CENTRAL TERMICA BRIGADIER LOPEZ (ENARSA),-31.7112,-60.7811,gas
Argentina,CENTRAL TERMICA DE CICLO COMBINADO SALTA,-24.7456,-65.0513,gas
Argentina,CENTRAL TERMICA GÜEMES SA,-24.6894,-65.0425,coal
Argentina,CENTRAL TERMICA LA BANDA,-27.7528,-64.2655,gas
Argentina,CENTRAL TERMICA PIQUIRENDA SA,-22.3497,-63.7664,oil
Argentina,CENTRAL TERMICA REMEDIOS DE ESCALADA,-34.7208,-58.3881,oil
Argentina,CENTRAL TERMOELECTRICA GUILLERMO BROWN,-34.6268,-58.5438,gas
Argentina,CT TARTAGAL,-22.5406,-63.8056,oil
Argentina,CENTRAL TERMOELECTRICA MANUEL BELGRANO,-24.6894,-65.0425,gas
Argentina,CENTRAL TERMOELECTRICA TIMBUES,-32.5778,-60.791,gas
Argentina,CENTRAL PARQUE INDUSTRIAL LA BANDA,-38.062,-67.9463,oil
Argentina,CH LOS CARACOLES,-31.5192,-68.9814,hydro
Argentina,CHIMBERA 1,-31.9881,-68.5402,solar
Argentina,CIPOLLETTI,-38.9121,-67.9427,hydro
Argentina,COMANDANTE ANDRESITO,-25.6669,-54.0419,oil
Argentina,COMODORO RIVADAVIA,-25.9913,-54.6278,gas
Argentina,COMODORO RIVADAVIA - ANTONIO MORAN,-45.8467,-67.4964,wind
Argentina,CORRIENTES,-27.4708,-58.8042,oil
Argentina,COSTANERA,-34.626,-58.3393,coal
Argentina,CRUZ DE PIEDRA,-33.0349,-68.7971,gas
Argentina,CRUZ DEL EJE,-30.7636,-64.7538,oil
Argentina,CT 13 DE JULIO,-32.1613,-64.1537,gas
Argentina,CT ALEM,-43.0907,-65.2298,oil
Argentina,CT ALUMINE,-38.8706,-70.5753,oil
Argentina,CHILECITO,-29.1578,-67.5069,oil
Argentina,CT ARISTOBULO DEL VALLE,-27.0922,-54.8625,oil
