country,country_long,name,latitude,longitude,primary_fuel
ARG,Argentina,CORRIENTES,-27.4708,-58.8042,Oil
ARG,Argentina,COSTANERA,-34.626,-58.3393,Coal
ARG,Argentina,CRUZ DE PIEDRA,-33.0349,-68.7971,Gas
ARG,Argentina,CRUZ DEL EJE,-30.7636,-64.7538,Oil
ARG,Argentina,CT 13 DE JULIO,-32.1613,-64.1537,Gas
ARG,Argentina,CT ALEM,-43.0907,-65.2298,Oil
ARG,Argentina,CT ALUMINE,-38.8706,-70.5753,Oil
ARG,Argentina,CT ARISTOBULO DEL VALLE,-27.0922,-54.8625,Oil
ARG,Argentina,CT ARRECIFES,-34.0414,-60.1297,Oil
ARG,Argentina,CT AÑATUYA,-28.4431,-62.8569,Oil
ARG,Argentina,CT AÑATUYA II,-28.4431,-62.8569,Oil
ARG,Argentina,CT BARILOCHE,-41.1497,-71.2633,Oil
ARG,Argentina,CT BELL VILLE,-32.6103,-62.6864,Oil
ARG,Argentina,CT BRAGADO,-35.1364,-60.4311,Gas
ARG,Argentina,CT CAPITAN SARMIENTO,-34.1636,-59.7683,Oil
ARG,Argentina,CT CATAMARCA,-28.4706,-65.7647,Oil
ARG,Argentina,CT CAVIAHUE,-38.0528,-70.6136,Oil
ARG,Argentina,CT CERES,-29.8883,-61.9297,Oil
ARG,Argentina,CT CHARATA,-27.2369,-61.1939,Oil
ARG,Argentina,CT CHILECITO,-29.1581,-67.5072,Oil
ARG,Argentina,CT CIPOLLETTI,-38.9133,-67.9414,Oil
ARG,Argentina,CT COLON BUENOS AIRES,-33.9222,-61.0769,Oil
ARG,Argentina,CT CONCEPCION DEL URUGUAY,-32.4767,-58.2672,Gas
ARG,Argentina,CT CORRIENTES,-27.4708,-58.8042,Oil
ARG,Argentina,CT ECOENERGIA (PETROBRAS),-38.6871,-62.3961,Coal
ARG,Argentina,CT ENSENADA DE BARRAGAN,-34.8597,-57.9557,Gas
ARG,Argentina,CT ESQUINA,-30.055,-59.5294,Oil
ARG,Argentina,CT FORMOSA II,-26.1764,-58.2094,Oil
ARG,Argentina,CT GENERAL VILLEGAS,-35.0347,-62.9981,Oil
ARG,Argentina,CT GOYA,-29.1583,-59.2728,Oil
ARG,Argentina,CT INDEPENDENCIA,-26.8666,-65.2247,Gas
ARG,Argentina,CT INGENIERO JUAREZ,-23.9078,-61.8342,Oil
ARG,Argentina,CT INTA CATAMARCA,-28.4733,-65.7275,Oil
ARG,Argentina,CT ISLA VERDE,-33.2425,-62.395,Oil
ARG,Argentina,CT JUAN JOSE CASTELLI,-25.9564,-60.6204,Oil
ARG,Argentina,CT JUNIN,-34.5708,-60.9161,Oil
ARG,Argentina,CT LA PLATA,-34.9344,-58.016,Oil
ARG,Argentina,CT LA RIOJA DELIVERY,-29.3811,-66.8325,Oil
ARG,Argentina,CT LA RIOJA SUR,-29.3808,-66.8319,Oil
ARG,Argentina,CT LAGUNA BLANCA,-25.1286,-58.2597,Oil
ARG,Argentina,CT LAS ARMAS,-37.0781,-57.8181,Gas
ARG,Argentina,CT LAS ARMAS II,-37.0781,-57.8181,Gas
ARG,Argentina,CT LAS PALMAS,-27.0289,-58.6997,Oil
ARG,Argentina,CT LIBERTADOR GENERAL SAN MARTIN,-40.8421,-68.0869,Oil
ARG,Argentina,CT LINCOLN,-34.8578,-61.5206,Oil
ARG,Argentina,CT LOBOS,-35.1917,-59.0808,Oil
ARG,Argentina,CT MAGDALENA,-35.1001,-57.4839,Oil
ARG,Argentina,CT MATHEU,-34.3931,-58.8372,Gas
ARG,Argentina,CT MEDANITOS (RINCON DE LOS SAUCES),-37.4102,-68.9,Oil
ARG,Argentina,CT MIRAMAR I,-38.2472,-57.8242,Oil
ARG,Argentina,CT OLAVARRIA,-36.9439,-60.2361,Gas
ARG,Argentina,CT ORAN,-23.1258,-64.3069,Oil
ARG,Argentina,CT PARANA,-31.7764,-60.4553,Gas
ARG,Argentina,CT PARQUE INDUSTRIAL CATAMARCA,-28.5339,-65.7997,Oil
ARG,Argentina,CT PASO DE LA PATRIA,-27.3236,-58.5667,Oil
ARG,Argentina,CT PEHUAJO,-35.8336,-61.8758,Oil
ARG,Argentina,CT PINAMAR,-37.0953,-56.8789,Gas
ARG,Argentina,CT PIRANE,-25.6786,-59.0756,Oil
ARG,Argentina,CT PLUSPETROL NORTE,-26.9955,-65.166,Gas
ARG,Argentina,CT RAFAELA,-31.2567,-61.5203,Oil
ARG,Argentina,CT REALICO,-35.055,-64.2406,Oil
ARG,Argentina,CT ROCA,-31.8919,-60.0106,Gas
ARG,Argentina,CT SAENZ PEÑA  I,-26.8156,-60.4114,Oil
ARG,Argentina,CT SAENZ PEÑA  II,-26.8153,-60.4125,Oil
ARG,Argentina,CT SALTO,-27.4597,-65.6055,Oil
ARG,Argentina,CT SAN MARTIN NORTE III,-34.5252,-58.6206,Oil
ARG,Argentina,CT SAN MIGUEL DE TUCUMAN,-26.9955,-65.166,Gas
ARG,Argentina,CT SAN MIGUEL NORTE III,-34.5252,-58.6206,Oil
ARG,Argentina,CT SANTA ROSA,-28.2628,-58.0006,Oil
ARG,Argentina,CT TARTAGAL,-22.5406,-63.8056,Oil
ARG,Argentina,CT TEREVINTOS,-28.4289,-65.7878,Oil
ARG,Argentina,CT TINOGASTA,-28.0486,-67.5667,Oil
ARG,Argentina,CT TUCUMAN,-26.9955,-65.166,Gas
ARG,Argentina,CT VENADO TUERTO,-33.7736,-61.9564,Oil
ARG,Argentina,CT VIALE,-31.8919,-60.0106,Oil
ARG,Argentina,CT VILLA ANGELA,-27.5808,-60.7094,Oil
ARG,Argentina,CT VILLA REGINA,-39.0872,-67.0881,Oil
ARG,Argentina,CUESTA DEL VIENTO,-30.1833,-69.0667,Hydro
ARG,Argentina,Cafayate,-26.04,-65.93,Solar
ARG,Argentina,Caldenes del Oeste,-33.61,-65.445,Solar
ARG,Argentina,Cauchari,-23.8,-66.8,Solar
ARG,Argentina,DEAN FUNES,-31.3934,-64.2059,Gas
ARG,Argentina,DIQUE,-34.8902,-57.933,Gas
ARG,Argentina,DOCK SUD,-34.6533,-58.342,Gas
ARG,Argentina,EL CADILLAL,-26.6156,-65.1929,Hydro
ARG,Argentina,EL CARRIZAL,-33.2993,-68.7199,Hydro
ARG,Argentina,EL CHOCON,-39.2577,-68.7483,Hydro
ARG,Argentina,EL TIGRE,-34.61,-68.6136,Hydro
ARG,Argentina,EL TUNAL,-25.2323,-64.4762,Hydro
ARG,Argentina,EMBALSE,-32.2316,-64.4422,Nuclear
ARG,Argentina,ESCABA,-27.6589,-65.7633,Hydro
ARG,Argentina,ESQUINA,-30.0102,-59.5321,Oil
ARG,Argentina,EX CENTRAL BUENOS AIRES,-34.627,-58.3382,Gas
ARG,Argentina,FILO MORADO,-37.2742,-69.652,Gas
ARG,Argentina,FITZ SIMON,-32.1784,-64.4207,Hydro
ARG,Argentina,FLORENTINO AMEGHINO,-43.6996,-66.4815,Hydro
ARG,Argentina,FUTALEUFU,-43.1288,-71.63,Hydro
ARG,Argentina,GENERACION FRIAS SA,-28.6072,-65.1228,Gas
ARG,Argentina,GENERAL ACHA,-37.4309,-64.716,Wind
ARG,Argentina,GENERAL LEVALLE,-34.0364,-63.9217,Gas
ARG,Argentina,GENERAL SAN MARTIN,-33.0449,-68.9219,Hydro
ARG,Argentina,GOYA,-29.1388,-59.2277,Oil
ARG,Argentina,GOYA (ELECTROPATAGONIA SA),-29.1388,-59.2277,Gas
ARG,Argentina,GUILLERMO CESPEDES,-39.56,-65.6817,Hydro
ARG,Argentina,H. PICHI PICUN LEUFU,-40.012,-69.9918,Hydro
ARG,Argentina,ISLA VERDE,-33.2422,-62.3946,Oil
ARG,Argentina,ITA IBATE,-27.4252,-57.3341,Oil
ARG,Argentina,ITUZAINGO,-27.5785,-56.6726,Oil
ARG,Argentina,Iglesia-Guañizuil,-30.34,-69.27,Solar
ARG,Argentina,JULIAN  ROMERO,-38.8367,-68.038,Hydro
ARG,Argentina,LA CRUZ,-29.1762,-56.6394,Oil
ARG,Argentina,LA PLATA COGENERACION,-34.889,-57.9206,Gas
ARG,Argentina,LA RIOJA,-29.3823,-66.8325,Oil
ARG,Argentina,LA TABLADA,-27.4184,-55.9097,Gas
ARG,Argentina,LA VIÑA,-31.8708,-65.0349,Hydro
ARG,Argentina,LAS MADERAS,-24.4438,-65.2203,Hydro
ARG,Argentina,LOS CORONELES (EX 25  DE MAYO),-34.6,-68.5285,Hydro
ARG,Argentina,LOS MOLINOS I,-31.838,-64.4452,Hydro
ARG,Argentina,LOS MOLINOS II,-31.838,-64.4452,Hydro
ARG,Argentina,LOS QUIROGA,-27.6509,-64.3618,Hydro
ARG,Argentina,LOS REYUNOS,-34.6028,-68.6383,Hydro
ARG,Argentina,LUJAN DE CUYO,-33.0551,-68.981,Gas
ARG,Argentina,MAR DE AJO,-36.7208,-63.1977,Gas
ARG,Argentina,MAR DEL PLATA (9 DE JULIO),-38.0495,-57.546,Gas
ARG,Argentina,MAYOR BURATOVICH,-39.2291,-62.6497,Wind
ARG,Argentina,MBURUCUYA,-28.0441,-58.2285,Oil
ARG,Argentina,MERCEDES,-29.1808,-58.0793,Oil
ARG,Argentina,MODESTO MARANZANA,-33.1608,-64.3656,Gas
ARG,Argentina,NECOCHEA,-38.5785,-58.7108,Coal
ARG,Argentina,NIHUIL I,-34.9907,-68.6237,Hydro
ARG,Argentina,NIHUIL II,-34.9039,-68.6177,Hydro
ARG,Argentina,NIHUIL III,-34.8821,-68.576,Hydro
ARG,Argentina,NIHUIL IV,-34.833,-68.5168,Hydro
ARG,Argentina,NUEVA ESPERANZA,-26.2072,-64.2477,Oil
ARG,Argentina,NUEVO PUERTO,-34.5721,-58.3835,Gas
ARG,Argentina,OBERA (TG Nº21 FIAT ),-27.5019,-55.1245,Gas
ARG,Argentina,ORENSE,-38.6851,-59.7804,Oil
ARG,Argentina,PARANA,-33.3549,-60.1718,Other
ARG,Argentina,PARQUE EOLICO ARAUCO SAPEM I,-28.6684,-66.7524,Wind
ARG,Argentina,PARQUE EOLICO ARAUCO SAPEM II,-28.6684,-66.7524,Wind
ARG,Argentina,PARQUE EOLICO DIADEMA,-45.7458,-67.6953,Wind
ARG,Argentina,PARQUE EOLICO EL TORDILLO,-45.8507,-67.9081,Wind
ARG,Argentina,PARQUE EOLICO LOMA BLANCA IV (ENARSA),-43.0907,-65.2298,Wind
ARG,Argentina,PARQUE EOLICO RAWSON I (ENARSA),-43.3522,-65.1734,Wind
ARG,Argentina,PARQUE EOLICO RAWSON II (ENARSA),-43.3522,-65.1734,Wind
ARG,Argentina,PASO DE LOS LIBRES,-29.7148,-57.0933,Oil
ARG,Argentina,PATAGONIA,-45.7934,-67.5145,Gas
ARG,Argentina,PERUGORRIA,-29.34,-58.6077,Oil
ARG,Argentina,PICO TRUNCADO - JORGE ROMANUTTI,-46.8065,-67.9808,Wind
ARG,Argentina,PICO TRUNCADO I,-46.7842,-67.9498,Gas
ARG,Argentina,PIEDRA DEL AGUILA (CPSA),-31.6651,-63.8314,Hydro
ARG,Argentina,PIEDRAS MORAS,-32.1675,-64.2438,Hydro
ARG,Argentina,PILAR  BICENTENARIO,-31.6651,-63.8314,Gas
ARG,Argentina,PILAR ZANICHELLI,-31.6662,-63.8344,Coal
ARG,Argentina,PLANICIE BANDERITA,-28.5339,-65.7997,Hydro
ARG,Argentina,PLANTA PILOTO FOTOVOLTAICA SAN JUAN 1,-31.3891,-68.6752,Solar
ARG,Argentina,PRESIDENTE SARMIENTO,-31.5129,-68.5399,Gas
ARG,Argentina,PUEBLO VIEJO,-27.1149,-65.7523,Hydro
ARG,Argentina,PUERTO MADRYN,-42.7069,-65.1048,Gas
ARG,Argentina,PUERTO NUEVO,-34.5754,-58.3788,Coal
ARG,Argentina,PUNTA ALTA - CENTENARIO,-38.7833,-61.8984,Wind
ARG,Argentina,QUEBRADA DE ULLUM,-31.2567,-61.5203,Hydro
ARG,Argentina,RIO CORRALITO,-24.983,-65.686,Hydro
ARG,Argentina,RIO CUARTO,-33.1614,-64.3649,Gas
ARG,Argentina,RIO GRANDE,-53.7862,-67.7222,Hydro
ARG,Argentina,RIO HONDO,-27.5225,-64.8861,Hydro
ARG,Argentina,SALTO ANDERSEN,-38.8244,-64.8296,Hydro
ARG,Argentina,SALTO GRANDE (MITAD ARGENTINA),-31.3891,-68.6752,Hydro
ARG,Argentina,SAN FRANCISCO,-31.4391,-62.1119,Gas
ARG,Argentina,SAN MARTIN DE LOS ANDES,-40.1511,-71.334,Oil
ARG,Argentina,SAN NICOLAS,-33.3562,-60.1729,Coal
ARG,Argentina,SAN PEDRO,-26.6253,-54.1102,Oil
ARG,Argentina,SAN ROQUE,-31.3533,-64.3938,Hydro
ARG,Argentina,SANTA ISABEL,-36.2314,-66.9381,Oil
ARG,Argentina,SANTO TOME,-28.5497,-56.0722,Oil
ARG,Argentina,SORRENTO,-32.9053,-60.6807,Coal
ARG,Argentina,SUDOESTE,-31.463,-64.2388,Gas
ARG,Argentina,Saujil,-28.165,-66.225,Solar
ARG,Argentina,TARTAGAL,-22.5099,-63.797,Gas
ARG,Argentina,TENARIS SIDERCA CETE II,-33.3655,-60.1435,Gas
ARG,Argentina,TOSTADO,-29.2352,-61.7577,Oil
ARG,Argentina,ULLUM,-31.4557,-68.7556,Hydro
ARG,Argentina,URUGUA-I,-25.8766,-54.5687,Hydro
ARG,Argentina,VENADO TUERTO,-33.7777,-61.9555,Oil
ARG,Argentina,VILLA GESELL,-37.2487,-56.9973,Gas
ARG,Argentina,VILLA MARIA (LAS PLAYAS),-39.0872,-67.0881,Gas
ARG,Argentina,VUELTA DE OBLIGADO,-32.5807,-60.7903,Gas
ARG,Argentina,YACYRETA,-27.4827,-56.7397,Hydro
ARM,Armenia,Armenian-2,40.1805,44.1498,Nuclear
ARM,Armenia,Hrazadan,40.564,44.7479,Gas
ARM,Armenia,New Yerevan,40.1152,44.4973,Gas
ARM,Armenia,Sevan-Hrazdan Cascade,40.5078,44.7606,Hydro
ARM,Armenia,Shamb,39.4743,46.1306,Hydro
ARM,Armenia,Spandaryan,39.6494,45.85,Hydro
ARM,Armenia,Tatev,39.3956,46.2578,Hydro
ARM,Armenia,Yerevan,40.1138,44.5038,Gas
AUS,Australia,Adelaide Showgrounds,-34.9453,138.5882,Solar
AUS,Australia,Albany Wind Farm,-35.0641,117.7977,Wind
AUS,Australia,Amcor Gawler,-34.5509,138.7659,Oil
AUS,Australia,Angaston,-34.5034,139.0246,Oil
AUS,Australia,Anglesea,-38.3861,144.1828,Coal
AUS,Australia,Angurugu,-13.8584,136.4209,Oil
AUS,Australia,Appin (Mine),-34.2082,150.7722,Gas
AUS,Australia,Ararat Wind Farm,-37.2385,143.0794,Wind
AUS,Australia,Argyle Diamond Mine,-16.7162,128.4031,Oil
AUS,Australia,Bairnsdale,-37.8429,147.5639,Gas
AUS,Australia,Ballarat Base Hospital,-37.5596,143.8469,Gas
AUS,Australia,Banimboola,-36.5344,147.4594,Hydro
AUS,Australia,Bankstown Sports Club,-33.9197,151.0332,Oil
AUS,Australia,Bannerton Solar Farm,-34.6899,142.7452,Solar
AUS,Australia,Barcaldine (Len Wishaw),-23.5525,145.3142,Gas
AUS,Australia,Barcaldine KDB,-23.549,145.318,Solar
AUS,Australia,Barcaldine YD,-23.5388,145.2732,Solar
AUS,Australia,Barron Gorge,-16.8502,145.6465,Hydro
AUS,Australia,Bastyan,-41.736,145.5321,Hydro
AUS,Australia,Bayswater,-32.3953,150.9491,Coal
AUS,Australia,Belconnen,-35.2142,148.9872,Waste
AUS,Australia,Bell Bay (Bell Bay Three),-41.1429,146.903,Gas
AUS,Australia,Bendeela (Shoalhaven Scheme),-34.7337,150.4669,Hydro
AUS,Australia,Berrimah,-12.4262,130.9195,Gas
AUS,Australia,Berwick,-38.1197,145.2665,Waste
AUS,Australia,Beryl AU,-32.353,149.468,Solar
AUS,Australia,Bidyadanga,-18.6816,121.7848,Oil
AUS,Australia,Blayney Wind Farm,-33.6219,149.1982,Wind
AUS,Australia,Blowering,-35.3986,148.2463,Hydro
AUS,Australia,Blue Lake Milling Power Plant,-36.3164,140.7575,Oil
AUS,Australia,Bluff Point (Woolnorth) Wind Farm,-40.7207,144.6869,Wind
AUS,Australia,Boco Rock,-36.5763,149.1267,Wind
AUS,Australia,Bodangora Wind Farm,-32.4146,149.0998,Wind
AUS,Australia,Bogong (Mount Beauty Hydro Scheme),-36.8055,147.228,Hydro
AUS,Australia,Braemar 1,-27.1109,150.9053,Gas
AUS,Australia,Braemar 2,-27.1128,150.9049,Gas
AUS,Australia,Bremer Bay Diesel Backup,-34.4018,119.3888,Oil
AUS,Australia,Brewer,-23.8817,133.8281,Gas
AUS,Australia,Brisbane BNE,-27.404,153.11,Solar
AUS,Australia,Broadmeadows,-37.6878,144.9663,Waste
AUS,Australia,Broadwater,-29.0118,153.4335,Biomass
AUS,Australia,Broken Hill,-31.9863,141.4203,Gas
AUS,Australia,Broken Hill Solar Plant,-31.9867,141.3915,Solar
AUS,Australia,Brooklyn,-37.818,144.8319,Waste
AUS,Australia,Broome,-17.981,122.2046,Gas
AUS,Australia,Brown Mountain,-36.5951,149.474,Hydro
AUS,Australia,Browns Plains,-27.6721,153.0663,Waste
AUS,Australia,Bulwer Island,-27.4036,153.1363,Gas
AUS,Australia,Bungala I,-32.427,137.838,Solar
