country,source,year,consumptionElectricity,productionElectricity,gdp,population,intensityPerCapita,intensityByGDP,co2emissions
Bhutan,petroleum_n_other_liquids,1980,0.011,0.0,0.538,406.883,0.332,0.251,0.0
Bhutan,nuclear,1980,0.0,0.0,0.538,406.883,0.332,0.251,0.0
Bhutan,renewables_n_other,1980,0.023,0.018,0.538,406.883,0.332,0.251,0.0
Bolivia,all_energy_types,1980,21.848,43.352,0.0,5579.93,13.36,0.0,0.0
Bolivia,coal,1980,0.0,0.0,0.0,5579.93,13.36,0.0,0.0
Bolivia,natural_gas,1980,3.828,21.601,0.0,5579.93,13.36,0.0,0.0
Bolivia,petroleum_n_other_liquids,1980,14.623,18.356,0.0,5579.93,13.36,0.0,0.0
Bolivia,nuclear,1980,0.0,0.0,0.0,5579.93,13.36,0.0,0.0
Bolivia,renewables_n_other,1980,3.397,3.395,0.0,5579.93,13.36,0.0,0.0
Bosnia and Herzegovina,all_energy_types,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,coal,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,natural_gas,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,petroleum_n_other_liquids,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,nuclear,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,renewables_n_other,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,all_energy_types,1980,4.322,2.421,3.928,897.86,16.427,3.755,0.0
Botswana,coal,1980,2.538,2.421,3.928,897.86,16.427,3.755,0.0
Botswana,natural_gas,1980,0.0,0.0,3.928,897.86,16.427,3.755,0.0
Botswana,petroleum_n_other_liquids,1980,1.784,0.0,3.928,897.86,16.427,3.755,0.0
Botswana,nuclear,1980,0.0,0.0,3.928,897.86,16.427,3.755,0.0
Botswana,renewables_n_other,1980,0.0,0.0,3.928,897.86,16.427,3.755,0.0
Brazil,all_energy_types,1980,1141.912,580.472,1305.131,121050.8,32.188,2.985,0.0
