idCountry,idPrimaryFuel,namePlant,latitude,longitude
7,13,Caldenes del Oeste,-33.61,-65.445
7,13,Cauchari,-23.8,-66.8
7,4,DEAN FUNES,-31.3934,-64.2059
7,4,DIQUE,-34.8902,-57.933
7,4,DOCK SUD,-34.6533,-58.342
7,6,EL CADILLAL,-26.6156,-65.1929
7,6,EL CARRIZAL,-33.2993,-68.7199
7,6,EL CHOCON,-39.2577,-68.7483
7,6,EL TIGRE,-34.61,-68.6136
7,6,EL TUNAL,-25.2323,-64.4762
7,7,EMBALSE,-32.2316,-64.4422
7,6,ESCABA,-27.6589,-65.7633
7,8,ESQUINA,-30.0102,-59.5321
7,4,EX CENTRAL BUENOS AIRES,-34.627,-58.3382
7,4,FILO MORADO,-37.2742,-69.652
7,6,FITZ SIMON,-32.1784,-64.4207
7,6,FLORENTINO AMEGHINO,-43.6996,-66.4815
7,6,FUTALEUFU,-43.1288,-71.63
7,4,GENERACION FRIAS SA,-28.6072,-65.1228
7,17,GENERAL ACHA,-37.4309,-64.716
7,4,GENERAL LEVALLE,-34.0364,-63.9217
7,6,GENERAL SAN MARTIN,-33.0449,-68.9219
7,8,GOYA,-29.1388,-59.2277
7,4,GOYA (ELECTROPATAGONIA SA),-29.1388,-59.2277
7,6,GUILLERMO CESPEDES,-39.56,-65.6817
7,6,H. PICHI PICUN LEUFU,-40.012,-69.9918
7,8,ISLA VERDE,-33.2422,-62.3946
7,8,ITA IBATE,-27.4252,-57.3341
7,8,ITUZAINGO,-27.5785,-56.6726
7,13,Iglesia-Guañizuil,-30.34,-69.27
7,6,JULIAN  ROMERO,-38.8367,-68.038
7,8,LA CRUZ,-29.1762,-56.6394
7,4,LA PLATA COGENERACION,-34.889,-57.9206
7,8,LA RIOJA,-29.3823,-66.8325
7,4,LA TABLADA,-27.4184,-55.9097
7,6,LA VIÑA,-31.8708,-65.0349
7,6,LAS MADERAS,-24.4438,-65.2203
7,6,LOS CORONELES (EX 25  DE MAYO),-34.6,-68.5285
7,6,LOS MOLINOS I,-31.838,-64.4452
7,6,LOS MOLINOS II,-31.838,-64.4452
7,6,LOS QUIROGA,-27.6509,-64.3618
7,6,LOS REYUNOS,-34.6028,-68.6383
7,4,LUJAN DE CUYO,-33.0551,-68.981
7,4,MAR DE AJO,-36.7208,-63.1977
7,4,MAR DEL PLATA (9 DE JULIO),-38.0495,-57.546
7,17,MAYOR BURATOVICH,-39.2291,-62.6497
7,8,MBURUCUYA,-28.0441,-58.2285
7,8,MERCEDES,-29.1808,-58.0793
7,4,MODESTO MARANZANA,-33.1608,-64.3656
7,2,NECOCHEA,-38.5785,-58.7108
7,6,NIHUIL I,-34.9907,-68.6237
7,6,NIHUIL II,-34.9039,-68.6177
7,6,NIHUIL III,-34.8821,-68.576
7,6,NIHUIL IV,-34.833,-68.5168
7,8,NUEVA ESPERANZA,-26.2072,-64.2477
7,4,NUEVO PUERTO,-34.5721,-58.3835
7,4,OBERA (TG Nº21 FIAT ),-27.5019,-55.1245
7,8,ORENSE,-38.6851,-59.7804
7,9,PARANA,-33.3549,-60.1718
7,17,PARQUE EOLICO ARAUCO SAPEM I,-28.6684,-66.7524
7,17,PARQUE EOLICO ARAUCO SAPEM II,-28.6684,-66.7524
7,17,PARQUE EOLICO DIADEMA,-45.7458,-67.6953
7,17,PARQUE EOLICO EL TORDILLO,-45.8507,-67.9081
7,17,PARQUE EOLICO LOMA BLANCA IV (ENARSA),-43.0907,-65.2298
7,17,PARQUE EOLICO RAWSON I (ENARSA),-43.3522,-65.1734
7,17,PARQUE EOLICO RAWSON II (ENARSA),-43.3522,-65.1734
7,8,PASO DE LOS LIBRES,-29.7148,-57.0933
7,4,PATAGONIA,-45.7934,-67.5145
7,8,PERUGORRIA,-29.34,-58.6077
7,17,PICO TRUNCADO - JORGE ROMANUTTI,-46.8065,-67.9808
7,4,PICO TRUNCADO I,-46.7842,-67.9498
7,6,PIEDRA DEL AGUILA (CPSA),-31.6651,-63.8314
7,6,PIEDRAS MORAS,-32.1675,-64.2438
7,4,PILAR  BICENTENARIO,-31.6651,-63.8314
7,2,PILAR ZANICHELLI,-31.6662,-63.8344
7,6,PLANICIE BANDERITA,-28.5339,-65.7997
7,13,PLANTA PILOTO FOTOVOLTAICA SAN JUAN 1,-31.3891,-68.6752
7,4,PRESIDENTE SARMIENTO,-31.5129,-68.5399
7,6,PUEBLO VIEJO,-27.1149,-65.7523
7,4,PUERTO MADRYN,-42.7069,-65.1048
7,2,PUERTO NUEVO,-34.5754,-58.3788
7,17,PUNTA ALTA - CENTENARIO,-38.7833,-61.8984
7,6,QUEBRADA DE ULLUM,-31.2567,-61.5203
7,6,RIO CORRALITO,-24.983,-65.686
7,4,RIO CUARTO,-33.1614,-64.3649
7,6,RIO GRANDE,-53.7862,-67.7222
7,6,RIO HONDO,-27.5225,-64.8861
7,6,SALTO ANDERSEN,-38.8244,-64.8296
7,6,SALTO GRANDE (MITAD ARGENTINA),-31.3891,-68.6752
7,4,SAN FRANCISCO,-31.4391,-62.1119
7,8,SAN MARTIN DE LOS ANDES,-40.1511,-71.334
7,2,SAN NICOLAS,-33.3562,-60.1729
7,8,SAN PEDRO,-26.6253,-54.1102
7,6,SAN ROQUE,-31.3533,-64.3938
7,8,SANTA ISABEL,-36.2314,-66.9381
7,8,SANTO TOME,-28.5497,-56.0722
7,2,SORRENTO,-32.9053,-60.6807
7,4,SUDOESTE,-31.463,-64.2388
7,13,Saujil,-28.165,-66.225
7,4,TARTAGAL,-22.5099,-63.797
7,4,TENARIS SIDERCA CETE II,-33.3655,-60.1435
7,8,TOSTADO,-29.2352,-61.7577
7,6,ULLUM,-31.4557,-68.7556
7,6,URUGUA-I,-25.8766,-54.5687
7,8,VENADO TUERTO,-33.7777,-61.9555
7,4,VILLA GESELL,-37.2487,-56.9973
7,4,VILLA MARIA (LAS PLAYAS),-39.0872,-67.0881
7,4,VUELTA DE OBLIGADO,-32.5807,-60.7903
7,6,YACYRETA,-27.4827,-56.7397
8,7,Armenian-2,40.1805,44.1498
8,4,Hrazadan,40.564,44.7479
8,4,New Yerevan,40.1152,44.4973
8,6,Sevan-Hrazdan Cascade,40.5078,44.7606
8,6,Shamb,39.4743,46.1306
8,6,Spandaryan,39.6494,45.85
8,6,Tatev,39.3956,46.2578
8,4,Yerevan,40.1138,44.5038
10,13,Adelaide Showgrounds,-34.9453,138.5882
10,17,Albany Wind Farm,-35.0641,117.7977
10,8,Amcor Gawler,-34.5509,138.7659
10,8,Angaston,-34.5034,139.0246
10,2,Anglesea,-38.3861,144.1828
10,8,Angurugu,-13.8584,136.4209
10,4,Appin (Mine),-34.2082,150.7722
10,17,Ararat Wind Farm,-37.2385,143.0794
10,8,Argyle Diamond Mine,-16.7162,128.4031
10,4,Bairnsdale,-37.8429,147.5639
10,4,Ballarat Base Hospital,-37.5596,143.8469
10,6,Banimboola,-36.5344,147.4594
